"sccsn","C2a","C2b","C9","A2a","A2b","A6a","A6b","A11","C3a","C3b","socname","EP","Famine","Natural_Hazards","Chronic_Scarcity","v149","v157","v158","v235","v151","strat","Revised.latitude","Revised.longitude","A3a","A3b","A7a","A7b","General_TL5_Final","Soc_TL5_Final","Gender_TL5_Final","Mar_TL5_Final","Sex_TL5_Final","FM_TL5_Final"
2,3,3,3,4,4,3,3,3,1,1,"Kung_Bushmen",1950,NA,4,3,2,2,1,1,1,0,-19.83,20.58,"1","1","NA","NA",2.25,1.75,3,2.25,3,NA
13,3,3,3,3,2,2,2,2,NA,NA,"Mbuti",1950,1,1,1,1,1,1,3,1,0,1.5,28.33,"NA","NA","NA","NA",1.25,1.75,1,2,1.25,1.75
27,4,4,3,3,4,3,3,2,1,NA,"Massa_Masa",1910,3,2,1,1,2,1,4,5,0,10.5,15.5,"0","1","NA","NA",NA,NA,NA,NA,NA,NA
30,3,2,3,4,NA,4,NA,4,2,0,"Otoro_Nuba",1930,4,4,4,2,1,2,NA,5,1,11.33,30.67,"2","NA","2","NA",3,3.75,2.75,3.75,2.25,NA
22,4,4,3,3,4,NA,3,3,NA,NA,"Bambara",1902,NA,3,NA,3,3,4,7,5,1,12.5,-7,"NA","NA","1","1",3,4,3.75,3.25,2.25,4
24,3,3,3,3,NA,NA,3,3,1,2,"Songhai",1940,NA,2,NA,4,3,5,7,5,1,16.58,-1.67,"NA","NA","NA","NA",3.75,3.25,3.25,3.75,NA,NA
21,3,3,3,NA,4,3,3,3,NA,NA,"Wolof",1950,2,3,3,4,4,5,8,4,1,13.75,-15.33,NA,"NA",NA,"NA",2.375,NA,2.625,3.75,2.875,3
25,3,3,3,4,4,NA,4,4,NA,NA,"Pastoral_Fulani",1951,3,3,2,1,3,1,2,2,0,15,7.5,"0","1",NA,"NA",3,3.25,2.75,3.75,2.75,NA
23,3,4,3,4,4,NA,NA,3,1,1,"Tallensi",1934,2,4,2,1,2,2,5,5,1,10.66,-0.57,"1","1","NA","NA",3.25,3,2.75,3.25,3.25,3.75
12,4,3,4,NA,3,NA,2,2,NA,NA,"Ganda",1875,4,2,NA,2,5,4,7,5,1,0.33,32.5,NA,"0",NA,"1",4,3.5,3.875,3.125,3.125,4
8,2,3,3,NA,NA,NA,NA,NA,3,3,"Nyakyusa",1935,1,2,1,1,4,1,3,5,0,-9.5,34,NA,NA,NA,NA,3.125,NA,3.375,2.5,3.25,3.875
9,2,3,3,2,2,2,2,2,NA,NA,"Hadza",1930,1,3,1,1,1,1,1,1,0,-3.75,35.18,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA
32,3,3,2,3,3,3,3,3,0,0,"Mao",1939,NA,2,1,1,2,1,NA,4,0,9.27,34.67,"NA","NA","NA","NA",2.75,3,2,3,3,4
34,3,3,3,3,3,2,2,3,2,NA,"Masai",1900,3,4,NA,1,2,1,2,1,0,-3.5,36.75,"NA","NA","1","NA",3.25,2.5,3.875,3.125,2.875,2.625
40,3,3,3,3,4,3,3,3,1,NA,"Teda",1940,3,4,4,2,2,3,2,2,1,20.5,17.5,"NA","NA","0","1",3,3,2.5,3.125,3.5,3.375
29,4,4,4,4,4,3,3,3,NA,NA,"Fur_Darfur",1880,2,2,1,5,5,3,NA,5,1,13.5,25.5,"NA","NA","NA","NA",3.25,4,3.25,3.75,2,2.25
36,3,3,3,NA,NA,3,3,3,NA,NA,"Somali",1900,2,2,NA,4,3,2,1,2,1,9,47.25,NA,"NA","NA","NA",3.25,NA,4,3,NA,3.25
60,3,3,3,3,2,1,2,2,NA,NA,"Gond",1938,1,1,1,1,3,2,2,4,1,19.63,80.92,"1","1","0","0",2.875,2.875,3.5,1.5,3.75,3.75
52,3,3,3,NA,NA,NA,NA,NA,NA,NA,"Lapps",1950,1,1,NA,2,2,2,1,2,1,68.7,21.5,NA,NA,NA,NA,2.25,NA,1.75,2,2.25,NA
53,4,3,3,NA,NA,NA,NA,NA,NA,NA,"Yurak_Samoyed",1894,3,4,2,2,2,2,1,2,1,68,51.5,NA,NA,NA,NA,2,NA,3.25,3.25,NA,3
42,3,3,3,3,2,NA,3,3,NA,1,"Riffians",1926,2,2,3,5,4,2,7,5,1,34.92,-3.25,"1","1","NA","NA",3.25,NA,3.75,3.75,3.5,4
37,3,3,3,NA,3,NA,2,2,1,1,"Amhara",1953,2,1,1,5,5,5,8,5,1,12.5,37.75,NA,"0",NA,"NA",3.125,3.875,3.5,2.625,3.125,3.75
43,3,3,3,4,4,3,4,4,2,2,"Egyptians",1950,NA,4,2,5,5,5,8,5,1,24.75,33,"1","1","2","3",4,3.875,4,3.875,4,NA
46,3,4,3,NA,3,3,2,3,1,0,"Rwala_Bedouin",1913,3,4,NA,5,3,2,NA,1,1,33.25,38.5,NA,"NA","NA","NA",3,NA,NA,2,4,1.75
57,3,3,3,NA,2,3,2,2,2,3,"Kurd",1951,1,1,NA,4,4,3,NA,5,1,36.5,44.5,NA,"NA","NA","NA",3.25,2.25,3.75,3.25,3.75,3.25
64,3,3,3,NA,NA,3,3,2,1,1,"Burusho",1934,NA,1,2,4,3,5,4,5,1,36.43,74.58,NA,"NA","1","NA",2,2,1.5,2.125,3,NA
63,3,3,3,NA,4,3,2,3,NA,NA,"Uttar_Pradesh",1945,NA,2,NA,5,5,5,8,5,1,25.92,83,NA,"NA","NA","NA",NA,NA,NA,NA,NA,NA
160,2,2,2,NA,4,NA,2,2,1,1,"Haitians",1935,2,4,4,5,5,5,8,4,1,18.83,-72.17,NA,"1",NA,"1",3.875,3.875,3,3,2.25,4
54,3,3,3,NA,NA,NA,NA,NA,NA,NA,"Russians",1955,NA,4,1,5,5,5,8,5,1,52.67,41.33,NA,NA,NA,NA,3.75,4,4,4,NA,4
165,2,3,3,4,4,2,3,3,1,1,"Saramacca",1928,2,2,NA,3,4,1,NA,4,0,3.5,-55.75,"NA","1","NA","NA",4,2.75,3,3,3,4
90,NA,4,2,NA,NA,NA,NA,NA,NA,1,"Tiwi",1929,1,1,1,2,1,1,3,1,0,-11.38,131,NA,NA,NA,NA,2.625,2.25,3.875,3.375,2.875,3.875
91,3,4,4,2,2,3,3,3,NA,NA,"Aranda",1896,2,2,NA,3,2,1,1,1,0,-24.25,133.5,"1","1","1","NA",4,3.75,3.5,3.875,3.5,4
99,3,3,3,NA,NA,2,2,2,NA,NA,"Siuai",1939,3,NA,1,2,2,2,NA,4,1,-6.76,155.45,"NA","NA","NA","NA",3.25,1.25,3.25,3,2.75,3.75
92,3,3,3,2,2,NA,NA,3,NA,NA,"Orokaiva",1925,1,NA,2,1,2,1,2,4,0,-8.5,148,"1","1",NA,NA,2.25,1.75,4,1.25,2.25,3
93,4,4,3,4,4,4,3,3,NA,NA,"Kimam",1960,3,4,NA,1,2,1,4,5,0,-7.5,138.5,"NA","NA","NA","NA",3.25,2,3,2.25,3,4
94,4,4,4,4,4,2,2,2,1,1,"Kapauku",1955,1,NA,1,2,3,2,2,4,1,-4,136,"NA","NA","0","0",3.75,2.625,3.75,3.25,3,3
47,3,NA,NA,NA,NA,NA,NA,NA,1,1,"Turks",1950,3,4,3,5,5,5,8,5,1,39.33,34.25,NA,NA,NA,NA,3,2,3.75,3,3.875,NA
66,3,NA,3,NA,NA,NA,3,3,0,0,"Khalka_Mongols",1920,2,4,NA,5,5,4,1,2,1,47.17,96.08,NA,"NA",NA,"NA",3.125,3.625,1.5,2.25,NA,NA
119,3,3,3,NA,NA,NA,NA,NA,0,0,"Gilyak",1890,4,3,2,1,2,1,2,1,0,53,142,NA,NA,NA,NA,3.875,3,2.25,3.125,2.25,3.5
116,3,3,3,NA,NA,NA,4,3,1,1,"Koreans",1947,2,2,3,5,5,5,8,5,1,37.6,126.42,NA,NA,NA,"NA",3.875,3.5,4,3.75,3,3.875
117,2,2,3,NA,NA,NA,1,4,3,3,"Japanese",1950,1,2,NA,5,5,5,8,5,1,34.67,133.67,NA,NA,NA,NA,3.75,3.75,3.75,3.75,3.25,4
118,3,3,3,NA,3,3,3,3,NA,2,"Ainu",1880,2,1,2,2,2,1,1,2,0,42.83,143,"0","1","NA","NA",2.75,NA,2.75,1.25,NA,2.75
68,4,4,4,NA,NA,4,3,3,NA,NA,"Lepcha",1937,1,1,1,4,3,2,3,5,1,27.5,89,"NA","NA","2","1",3,3.25,1.25,3.25,3,4
70,3,3,3,4,4,3,2,2,NA,NA,"Lakher",1930,3,3,NA,2,3,4,NA,4,1,22.33,93,"1","1","1","NA",2.75,1.75,2.75,3.75,1.25,NA
62,NA,NA,NA,3,3,NA,3,3,NA,NA,"Santal",1940,NA,2,3,2,4,1,NA,5,0,23.5,87.17,"1","1","NA","1",NA,NA,NA,NA,NA,NA
73,3,3,3,NA,NA,NA,NA,NA,1,1,"Vietnamese",1930,1,4,NA,5,5,5,8,5,1,20.5,106.25,"NA","NA",NA,NA,2.75,NA,3,NA,NA,3.75
72,3,4,3,4,4,3,3,3,1,1,"Lamet",1940,3,2,2,1,2,2,2,4,1,20,100.67,"1","1","NA","NA",2.75,NA,3.75,2.25,2,3.75
86,2,4,3,NA,4,2,1,2,0,1,"Badjau",1963,NA,1,1,1,2,2,4,2,1,5,120,NA,"1","0","0",2,1.25,1.25,2,1.25,NA
112,4,4,3,2,2,NA,NA,NA,NA,NA,"Ifugao",1910,1,3,1,1,1,2,3,5,1,16.83,121.17,"NA","NA","1","NA",2.25,NA,1.5,1.125,2.5,3.5
85,3,3,3,2,3,3,3,3,1,NA,"Iban",1950,NA,2,NA,1,2,2,NA,4,1,2,110,"1","NA","1","NA",3.25,NA,2.25,3.75,3.75,3.75
98,4,3,3,4,4,3,3,3,1,1,"Trobrianders",1914,4,4,2,1,3,3,3,4,1,-8.54,151.01,"1","1","1","1",2.25,2.125,2.75,2.875,2,4
96,3,4,3,4,4,2,NA,3,1,1,"Manus",1929,1,1,1,2,2,2,3,1,1,-2.17,147.17,"1","1","0","1",3.875,2.75,3.75,3.5,3.875,4
110,3,3,3,3,3,2,2,2,1,NA,"Yapese",1910,NA,4,NA,2,3,4,2,4,1,9.52,138.16,"NA","NA","NA","NA",3.75,NA,3,1.75,2.75,2.75
108,NA,NA,NA,2,3,3,3,3,NA,NA,"Marshallese",1900,3,3,2,3,3,3,3,3,1,6.28,169.49,"1","1","1","NA",3.75,2.75,3.25,1.75,2.75,2.75
109,2,4,3,NA,NA,NA,NA,NA,1,1,"Trukese",1947,NA,2,NA,1,2,1,3,4,0,7.34,151.6,"1","NA","NA","NA",3.125,3,4,3.125,2.5,3
102,3,3,3,3,3,2,2,2,1,1,"Mbau_Fijians",1840,NA,1,1,1,4,2,6,3,1,-18,178.58,"NA","NA","0","1",4,3.25,3.75,4,3.75,3.75
106,4,4,3,2,2,3,2,2,NA,NA,"Western_Samoans",1829,2,4,1,1,4,3,4,4,1,-13.94,-171.77,"NA","NA","1","0",4,NA,NA,3.875,3.375,3.5
100,4,3,3,3,3,NA,NA,3,1,1,"Tikopia",1930,3,4,2,1,3,3,5,4,1,-12.29,168.83,"1","1","NA","1",3,2.75,3,2.25,2.75,2.25
104,2,2,2,2,2,2,2,2,0,1,"Maori",1820,3,4,3,3,3,3,4,4,1,-35.33,174.17,"0","0","1","0",NA,NA,NA,NA,NA,NA
121,3,3,3,2,2,2,2,3,NA,NA,"Chukchee",1900,2,3,1,1,2,2,1,1,1,66.5,179.6,"0","0","NA","NA",1,1.25,2.25,1,1,2.75
131,3,3,3,3,3,3,3,3,NA,NA,"Haida",1875,NA,1,1,3,2,4,NA,1,1,54,-132.5,"NA","NA","NA","NA",NA,NA,NA,NA,NA,NA
130,3,3,3,3,3,3,3,3,1,1,"Eyak",1890,1,1,NA,1,3,2,1,1,1,60.5,-145,"NA","NA",NA,NA,2.75,NA,2.75,3.25,3.25,4
142,3,3,3,NA,NA,2,3,NA,NA,1,"Pawnee",1867,2,4,4,2,3,3,4,4,1,42,-100,"NA","NA","NA","NA",2.75,2.25,2.25,2.25,3,NA
144,3,3,3,2,4,2,3,3,1,1,"Huron",1634,4,4,NA,2,4,2,5,4,1,44.5,-79,"NA","NA","NA","NA",2.25,1.25,2,2.25,1,3.75
172,3,3,3,NA,NA,NA,NA,NA,NA,NA,"Aymara",1940,NA,4,4,3,3,2,5,5,1,-16,-65.75,NA,NA,NA,NA,3.75,3.75,3,1.75,2.25,3.25
184,3,4,3,2,3,3,3,3,NA,1,"Mapuche",1950,1,3,3,2,3,2,2,5,1,-38.5,-72.58,"NA","1","NA","NA",3.75,3,2.75,3.75,2.75,4
186,3,3,3,NA,NA,2,2,2,1,1,"Yahgan",1865,1,4,1,1,2,1,1,1,0,-55.5,-69.5,NA,NA,"2","2",3,3.5,3,2.875,3.5,NA
164,3,3,2,2,4,NA,NA,2,0,0,"Carib_Barama",1932,2,3,1,2,2,1,1,3,0,7.42,-60.17,"0","1",NA,NA,2.5,2.125,2.625,2.875,2.5,3
185,3,3,2,3,3,3,3,3,1,1,"Tehuelche",1870,NA,4,1,1,2,1,2,1,0,-40.5,-68,"NA","NA","0","0",1.375,1,1.875,1,1.25,2.75
159,3,3,3,3,3,NA,2,2,NA,NA,"Goajiro",1947,2,4,2,2,3,2,1,2,1,11.92,-71.75,"NA","NA",NA,"NA",3.75,3.25,3.75,NA,NA,NA
173,NA,NA,NA,4,4,3,3,3,NA,NA,"Siriono",1942,1,1,2,1,2,1,1,2,0,-14.5,-63.5,"1","1","NA","NA",NA,NA,NA,NA,NA,NA
138,3,3,3,1,2,3,3,2,NA,NA,"Klamath",1860,2,2,2,2,2,2,1,1,1,42.63,-121.67,"0","0",NA,NA,2.125,2.75,1.5,2,3,3.625
182,3,3,3,3,NA,2,4,3,0,NA,"Lengua",1889,NA,4,NA,2,2,1,NA,3,0,-23,-58.5,"NA","NA","NA","NA",2.25,1,1.75,1.75,NA,3
154,3,3,3,NA,NA,NA,NA,NA,NA,NA,"Popoluca",1940,1,NA,1,1,3,1,NA,4,0,18.25,-94.83,NA,NA,NA,NA,3.25,NA,3,3,3.75,4
151,4,3,3,NA,3,NA,2,3,NA,NA,"Papago",1910,3,4,2,2,2,1,NA,5,0,32,-112,"NA","NA","NA","1",3.5,2,2,2.5,2.125,2.875
162,3,3,3,4,4,3,2,3,NA,NA,"Warrau",1935,NA,4,NA,2,2,1,2,2,0,9.08,-62,"1","1",NA,NA,2.125,1,2,2.875,2,2.5
168,3,3,3,NA,3,1,1,2,0,0,"Cayapa",1908,1,1,1,1,2,1,5,4,0,1,-79,NA,"0","0","0",3.375,NA,2.625,3.375,3.125,3
179,4,NA,4,4,NA,4,NA,4,1,NA,"Shavante",1958,NA,1,1,1,2,1,3,2,0,-13.5,-51.5,"1",NA,"NA",NA,NA,NA,NA,NA,NA,NA
150,3,3,3,2,2,2,2,3,1,1,"Havasupai",1918,NA,4,NA,2,2,1,3,5,0,35.83,-112.17,"1","1","0","0",1.625,2,3.125,2,2.75,2.125
156,3,3,2,3,3,3,2,2,0,0,"Miskito",1921,NA,1,1,1,3,1,3,4,0,15,-83,"NA","NA","0","0",3.25,1.25,3,3,NA,3.25
